English Name,Organization,Status,English Long Name
Hayabusa2,JAXA,active,
OSIRIS-REx,NASA,active,Origins, Spectral Interpretation, Resource Identification, Security, Regolith Explorer
Mars 2020,NASA,pending,
Chang'e 4,CNSA,pending,
Chang'e 5,CNSA,pending,
Akatsuki,JAXA,active, Venus Climate Orbiter (Planet-C)
IKAROS,JAXA,active,Interplanetary Kite-craft Accelerated by Radiation Of the Sun
BepiColombo,ESA/JAXA,pending,
Chang'e 2,CNSA,active,
Chang'e 6,CNSA,pending,
Chang'e 5-TI,CNSA,active,
Athena,ESA,pending,Advanced Telescope for High-Energy Astrophysics
Plato,ESA,pending,Planetary Transits and Oscillations of stars
Juice,ESA,pending,Jupiter Icy Moons Explorer
Euclid,ESA,pending,
SolO,ESA,pending,Solar Orbiter
James Webb Space Telescope,ESA/CSA/NASA,pending,
Cheops,ESA,pending,Characterising�ExoPlanets�Satellite
ExoMars,ESA/ROSCOSMOS,active,Exobiology of Mars
Gaia,ESA,active,
Luba-Glob,ROSCOSMOS,pending,
Venera-D,ROSCOSMOS,pending,
Juno,NASA,active,
Voyager 1,NASA,active,
Voyager 2,NASA,active,
